Ensembl.Gene.ID	Paralogs.Number
ENSMUSG00000001918	6
ENSMUSG00000001924	3
ENSMUSG00000001930	11
ENSMUSG00000001943	8
ENSMUSG00000001946	8
ENSMUSG00000001962	1
ENSMUSG00000001985	10
ENSMUSG00000001986	10
ENSMUSG00000001988	12
ENSMUSG00000001995	9
ENSMUSG00000001998	2
ENSMUSG00000002006	2
ENSMUSG00000002007	2
ENSMUSG00000002010	2
ENSMUSG00000002012	12
ENSMUSG00000002015	1
ENSMUSG00000002017	2
ENSMUSG00000002020	11
ENSMUSG00000002028	8
ENSMUSG00000002033	1
ENSMUSG00000002043	1
ENSMUSG00000002057	5
ENSMUSG00000002058	1
ENSMUSG00000002059	3
ENSMUSG00000002064	1
ENSMUSG00000002068	10
ENSMUSG00000002100	10
ENSMUSG00000002103	3
ENSMUSG00000002105	8
ENSMUSG00000002107	5
ENSMUSG00000002108	14
ENSMUSG00000002111	2
ENSMUSG00000002147	6
ENSMUSG00000002190	4
ENSMUSG00000002204	8
ENSMUSG00000002205	10
ENSMUSG00000002221	1
ENSMUSG00000002222	1
ENSMUSG00000002227	5
ENSMUSG00000002228	2
ENSMUSG00000002233	11
ENSMUSG00000002249	4
ENSMUSG00000002250	7
ENSMUSG00000002257	1
ENSMUSG00000002274	1
ENSMUSG00000002279	1
ENSMUSG00000002280	1
ENSMUSG00000002289	11
ENSMUSG00000002320	4
ENSMUSG00000002325	8
ENSMUSG00000002326	3
ENSMUSG00000002341	7
ENSMUSG00000002342	1
ENSMUSG00000002345	4
ENSMUSG00000002346	6
ENSMUSG00000002365	2
ENSMUSG00000002372	1
ENSMUSG00000002384	14
ENSMUSG00000002393	11
ENSMUSG00000002396	4
ENSMUSG00000002409	8
ENSMUSG00000002413	13
ENSMUSG00000002458	12
ENSMUSG00000002459	12
ENSMUSG00000002475	2
ENSMUSG00000002489	11
ENSMUSG00000002496	9
ENSMUSG00000002500	1
ENSMUSG00000002504	3
ENSMUSG00000002524	15
ENSMUSG00000002550	2
ENSMUSG00000002565	7
ENSMUSG00000002578	5
ENSMUSG00000002588	2
ENSMUSG00000002602	5
ENSMUSG00000002603	8
ENSMUSG00000002617	41
ENSMUSG00000002625	2
ENSMUSG00000002633	2
ENSMUSG00000002635	1
ENSMUSG00000002664	3
ENSMUSG00000002668	15
ENSMUSG00000002688	2
ENSMUSG00000002699	3
ENSMUSG00000002731	3
ENSMUSG00000002732	5
ENSMUSG00000002733	2
ENSMUSG00000002748	7
ENSMUSG00000002771	6
ENSMUSG00000002778	2
ENSMUSG00000002799	10
ENSMUSG00000002803	5
ENSMUSG00000002812	7
ENSMUSG00000002814	1
ENSMUSG00000002820	4
ENSMUSG00000002825	1
ENSMUSG00000002831	4
ENSMUSG00000002833	4
ENSMUSG00000002844	1
ENSMUSG00000002845	1
ENSMUSG00000002847	8
ENSMUSG00000002870	1
ENSMUSG00000002881	1
ENSMUSG00000002885	12
ENSMUSG00000002897	2
ENSMUSG00000002900	11
ENSMUSG00000002908	3
ENSMUSG00000002910	4
ENSMUSG00000002944	2
ENSMUSG00000002948	7
ENSMUSG00000002957	1
ENSMUSG00000002963	1
ENSMUSG00000002968	1
ENSMUSG00000002980	3
ENSMUSG00000002981	1
ENSMUSG00000002983	4
ENSMUSG00000002984	1
ENSMUSG00000002992	1
ENSMUSG00000002997	3
ENSMUSG00000003031	2
ENSMUSG00000003032	12
ENSMUSG00000003033	5
ENSMUSG00000003037	13
ENSMUSG00000003038	4
ENSMUSG00000003051	10
ENSMUSG00000003053	48
ENSMUSG00000003062	2
ENSMUSG00000003068	2
ENSMUSG00000003070	4
ENSMUSG00000003099	2
ENSMUSG00000003119	2
ENSMUSG00000003131	1
ENSMUSG00000003134	8
ENSMUSG00000003153	6
ENSMUSG00000003154	15
ENSMUSG00000003161	5
ENSMUSG00000003166	1
ENSMUSG00000003184	8
ENSMUSG00000003198	96
ENSMUSG00000003199	1
ENSMUSG00000003200	4
ENSMUSG00000003206	7
ENSMUSG00000003208	1
ENSMUSG00000003226	1
ENSMUSG00000003228	5
ENSMUSG00000003233	3
ENSMUSG00000003234	1
ENSMUSG00000003269	13
ENSMUSG00000003271	19
ENSMUSG00000003273	1
ENSMUSG00000003279	4
ENSMUSG00000003282	2
ENSMUSG00000003283	12
ENSMUSG00000003308	12
ENSMUSG00000003309	5
ENSMUSG00000003344	5
ENSMUSG00000003345	10
ENSMUSG00000003346	3
ENSMUSG00000003348	5
ENSMUSG00000003352	3
ENSMUSG00000003355	5
ENSMUSG00000003360	2
ENSMUSG00000003363	2
ENSMUSG00000003378	10
ENSMUSG00000003382	12
ENSMUSG00000003410	15
ENSMUSG00000003411	13
ENSMUSG00000003418	5
ENSMUSG00000003436	7
ENSMUSG00000003452	1
ENSMUSG00000003469	1
ENSMUSG00000003476	14
ENSMUSG00000003477	2
ENSMUSG00000003484	30
ENSMUSG00000003500	3
ENSMUSG00000003505	26
ENSMUSG00000003518	13
ENSMUSG00000003526	1
ENSMUSG00000003534	13
ENSMUSG00000003545	3
ENSMUSG00000003546	5
ENSMUSG00000003555	4
ENSMUSG00000003573	2
ENSMUSG00000003575	2
ENSMUSG00000003581	11
ENSMUSG00000003585	4
ENSMUSG00000003617	4
ENSMUSG00000003623	5
ENSMUSG00000003644	13
ENSMUSG00000003657	2
ENSMUSG00000003660	3
ENSMUSG00000003665	2
ENSMUSG00000003680	1
ENSMUSG00000003721	1
ENSMUSG00000003731	8
ENSMUSG00000003746	3
ENSMUSG00000003752	2
ENSMUSG00000003762	1
ENSMUSG00000003778	1
ENSMUSG00000003779	2
ENSMUSG00000003809	11
ENSMUSG00000003810	3
ENSMUSG00000003812	1
ENSMUSG00000003813	1
ENSMUSG00000003814	4
ENSMUSG00000003847	4
ENSMUSG00000003849	1
ENSMUSG00000003863	6
ENSMUSG00000003865	1
ENSMUSG00000003872	3
ENSMUSG00000003929	7
ENSMUSG00000003934	2
ENSMUSG00000003948	1
ENSMUSG00000003949	2
ENSMUSG00000003955	1
ENSMUSG00000003974	11
ENSMUSG00000003992	2
ENSMUSG00000004031	2
ENSMUSG00000004032	10
ENSMUSG00000004035	10
ENSMUSG00000004038	10
ENSMUSG00000004040	6
ENSMUSG00000004043	6
ENSMUSG00000004044	3
ENSMUSG00000004054	13
ENSMUSG00000004056	13
ENSMUSG00000004069	1
ENSMUSG00000004070	1
ENSMUSG00000004071	2
ENSMUSG00000004085	13
ENSMUSG00000004098	16
ENSMUSG00000004105	10
ENSMUSG00000004110	8
ENSMUSG00000004113	8
ENSMUSG00000004127	2
ENSMUSG00000004151	12
ENSMUSG00000004187	3
ENSMUSG00000004207	2
ENSMUSG00000004221	1
ENSMUSG00000004231	8
ENSMUSG00000004263	5
ENSMUSG00000004266	12
ENSMUSG00000004267	1
ENSMUSG00000004270	4
ENSMUSG00000004317	8
ENSMUSG00000004319	8
ENSMUSG00000004328	12
ENSMUSG00000004341	7
ENSMUSG00000004344	7
ENSMUSG00000004347	12
ENSMUSG00000004359	2
ENSMUSG00000004364	5
ENSMUSG00000004383	3
ENSMUSG00000004394	2
ENSMUSG00000004415	4
ENSMUSG00000004451	12
ENSMUSG00000004455	2
ENSMUSG00000004460	3
ENSMUSG00000004473	2
ENSMUSG00000004500	1
ENSMUSG00000004508	2
ENSMUSG00000004530	6
ENSMUSG00000004535	2
ENSMUSG00000004540	26
ENSMUSG00000004542	26
ENSMUSG00000004552	8
ENSMUSG00000004558	3
ENSMUSG00000004562	7
ENSMUSG00000004565	1
ENSMUSG00000004567	2
ENSMUSG00000004568	6
ENSMUSG00000004591	11
ENSMUSG00000004609	5
ENSMUSG00000004610	1
ENSMUSG00000004626	2
ENSMUSG00000004631	1
ENSMUSG00000004633	9
ENSMUSG00000004637	6
ENSMUSG00000004651	2
ENSMUSG00000004654	14
ENSMUSG00000004655	6
ENSMUSG00000004661	6
ENSMUSG00000004665	5
ENSMUSG00000004668	15
ENSMUSG00000004677	11
ENSMUSG00000004698	5
ENSMUSG00000004707	4
ENSMUSG00000004730	12
ENSMUSG00000004768	7
ENSMUSG00000004771	11
ENSMUSG00000004791	2
ENSMUSG00000004798	4
ENSMUSG00000004814	5
ENSMUSG00000004815	9
ENSMUSG00000004821	2
ENSMUSG00000004837	4
ENSMUSG00000004842	14
ENSMUSG00000004843	1
ENSMUSG00000004846	5
ENSMUSG00000004849	4
ENSMUSG00000004864	6
ENSMUSG00000004865	2
ENSMUSG00000004872	8
ENSMUSG00000004880	2
ENSMUSG00000004885	13
ENSMUSG00000004891	1
ENSMUSG00000004892	7
ENSMUSG00000004894	7
ENSMUSG00000004896	1
ENSMUSG00000004897	4
ENSMUSG00000004902	4
ENSMUSG00000004929	1
ENSMUSG00000004931	2
ENSMUSG00000004933	8
ENSMUSG00000004934	5
ENSMUSG00000004936	7
ENSMUSG00000004937	2
ENSMUSG00000004939	1
ENSMUSG00000004947	4
ENSMUSG00000004951	6
ENSMUSG00000004952	8
ENSMUSG00000004961	11
ENSMUSG00000004980	10
ENSMUSG00000004988	1
ENSMUSG00000004994	1
ENSMUSG00000005034	4
ENSMUSG00000005045	8
ENSMUSG00000005054	12
ENSMUSG00000005057	2
ENSMUSG00000005069	1
ENSMUSG00000005078	1
ENSMUSG00000005087	1
ENSMUSG00000005089	6
ENSMUSG00000005102	3
ENSMUSG00000005107	6
ENSMUSG00000005124	5
ENSMUSG00000005125	3
ENSMUSG00000005142	3
ENSMUSG00000005148	12
ENSMUSG00000005150	3
ENSMUSG00000005161	4
ENSMUSG00000005198	1
ENSMUSG00000005202	2
ENSMUSG00000005204	8
ENSMUSG00000005220	10
ENSMUSG00000005225	2
ENSMUSG00000005232	2
ENSMUSG00000005237	13
ENSMUSG00000005251	4
ENSMUSG00000005267	4
ENSMUSG00000005268	2
ENSMUSG00000005299	1
ENSMUSG00000005312	5
ENSMUSG00000005320	12
ENSMUSG00000005338	4
ENSMUSG00000005339	10
ENSMUSG00000005355	10
ENSMUSG00000005357	6
ENSMUSG00000005360	6
ENSMUSG00000005364	2
ENSMUSG00000005371	1
ENSMUSG00000005373	2
ENSMUSG00000005397	3
ENSMUSG00000005413	1
ENSMUSG00000005417	1
ENSMUSG00000005442	1
ENSMUSG00000005447	1
ENSMUSG00000005469	4
ENSMUSG00000005470	1
ENSMUSG00000005474	6
ENSMUSG00000005481	1
ENSMUSG00000005483	13
ENSMUSG00000005501	8
ENSMUSG00000005503	19
ENSMUSG00000005505	11
ENSMUSG00000005506	5
ENSMUSG00000005533	13
ENSMUSG00000005534	13
ENSMUSG00000005540	23
ENSMUSG00000005547	48
ENSMUSG00000005553	5
ENSMUSG00000005566	4
ENSMUSG00000005575	2
ENSMUSG00000005580	8
ENSMUSG00000005583	4
ENSMUSG00000005610	2
ENSMUSG00000005611	1
ENSMUSG00000005615	1
ENSMUSG00000005621	2
ENSMUSG00000005628	6
ENSMUSG00000005640	13
ENSMUSG00000005649	12
ENSMUSG00000005656	4
ENSMUSG00000005667	3
ENSMUSG00000005672	12
ENSMUSG00000005674	1
ENSMUSG00000005677	14
ENSMUSG00000005683	1
ENSMUSG00000005686	2
ENSMUSG00000005696	2
ENSMUSG00000005698	4
ENSMUSG00000005699	2
ENSMUSG00000005716	1
ENSMUSG00000005732	1
ENSMUSG00000005774	7
ENSMUSG00000005800	16
ENSMUSG00000005802	5
ENSMUSG00000005813	1
ENSMUSG00000005823	1
ENSMUSG00000005824	4
ENSMUSG00000005836	5
ENSMUSG00000005864	17
ENSMUSG00000005871	1
ENSMUSG00000005873	5
ENSMUSG00000005881	2
ENSMUSG00000005886	2
ENSMUSG00000005891	25
ENSMUSG00000005893	11
ENSMUSG00000005897	11
ENSMUSG00000005917	12
ENSMUSG00000005936	1
ENSMUSG00000005947	18
ENSMUSG00000005950	6
ENSMUSG00000005952	5
ENSMUSG00000005958	12
ENSMUSG00000005968	3
ENSMUSG00000005973	4
ENSMUSG00000005980	3
ENSMUSG00000005981	3
ENSMUSG00000005986	3
ENSMUSG00000005994	2
ENSMUSG00000006007	3
ENSMUSG00000006014	1
ENSMUSG00000006019	7
ENSMUSG00000006024	1
ENSMUSG00000006050	2
ENSMUSG00000006056	2
ENSMUSG00000006057	2
ENSMUSG00000006095	6
ENSMUSG00000006127	8
ENSMUSG00000006134	1
ENSMUSG00000006143	1
ENSMUSG00000006154	3
ENSMUSG00000006169	4
ENSMUSG00000006179	2
ENSMUSG00000006191	1
ENSMUSG00000006200	1
ENSMUSG00000006204	9
ENSMUSG00000006205	3
ENSMUSG00000006215	2
ENSMUSG00000006216	8
ENSMUSG00000006218	2
ENSMUSG00000006219	10
ENSMUSG00000006235	1
ENSMUSG00000006262	5
ENSMUSG00000006269	1
ENSMUSG00000006270	6
ENSMUSG00000006273	1
ENSMUSG00000006276	10
ENSMUSG00000006281	1
ENSMUSG00000006301	4
ENSMUSG00000006307	8
ENSMUSG00000006310	2
ENSMUSG00000006311	12
ENSMUSG00000006313	1
ENSMUSG00000006342	1
ENSMUSG00000006344	3
ENSMUSG00000006345	3
ENSMUSG00000006356	5
ENSMUSG00000006360	5
ENSMUSG00000006362	3
ENSMUSG00000006369	11
ENSMUSG00000006373	1
ENSMUSG00000006378	2
ENSMUSG00000006386	2
ENSMUSG00000006389	1
ENSMUSG00000006390	6
ENSMUSG00000006398	2
ENSMUSG00000006403	17
ENSMUSG00000006411	4
ENSMUSG00000006418	4
ENSMUSG00000006435	2
ENSMUSG00000006445	12
ENSMUSG00000006456	3
ENSMUSG00000006457	13
ENSMUSG00000006463	3
ENSMUSG00000006469	2
ENSMUSG00000006471	4
ENSMUSG00000006488	25
ENSMUSG00000006490	25
ENSMUSG00000006494	4
ENSMUSG00000006498	4
ENSMUSG00000006522	4
ENSMUSG00000006527	9
ENSMUSG00000006529	4
ENSMUSG00000006538	2
ENSMUSG00000006542	2
ENSMUSG00000006546	13
ENSMUSG00000006567	1
ENSMUSG00000006570	2
ENSMUSG00000006574	9
ENSMUSG00000006575	4
ENSMUSG00000006576	9
ENSMUSG00000006586	3
ENSMUSG00000006587	4
ENSMUSG00000006611	34
ENSMUSG00000006641	12
ENSMUSG00000006642	3
ENSMUSG00000006649	3
ENSMUSG00000006651	3
ENSMUSG00000006673	6
ENSMUSG00000006676	6
ENSMUSG00000006699	9
ENSMUSG00000006705	8
ENSMUSG00000006711	2
ENSMUSG00000006720	6
ENSMUSG00000006724	5
ENSMUSG00000006728	7
ENSMUSG00000006731	1
ENSMUSG00000006736	1
ENSMUSG00000006740	12
ENSMUSG00000006764	3
ENSMUSG00000006777	2
ENSMUSG00000006800	2
ENSMUSG00000006906	1
ENSMUSG00000006920	8
ENSMUSG00000006930	2
ENSMUSG00000006931	4
ENSMUSG00000006932	1
ENSMUSG00000006941	1
ENSMUSG00000006948	37
ENSMUSG00000006958	2
ENSMUSG00000006998	1
ENSMUSG00000007021	4
ENSMUSG00000007029	1
ENSMUSG00000007033	6
ENSMUSG00000007034	4
ENSMUSG00000007036	1
ENSMUSG00000007039	1
ENSMUSG00000007041	4
ENSMUSG00000007097	5
ENSMUSG00000007107	5
ENSMUSG00000007122	1
ENSMUSG00000007207	7
ENSMUSG00000007209	26
ENSMUSG00000007216	1
ENSMUSG00000007279	6
ENSMUSG00000007379	15
ENSMUSG00000007411	11
ENSMUSG00000007440	38
ENSMUSG00000007476	18
ENSMUSG00000007480	4
ENSMUSG00000007564	1
ENSMUSG00000007591	5
ENSMUSG00000007594	7
ENSMUSG00000007613	11
ENSMUSG00000007617	2
ENSMUSG00000007646	3
ENSMUSG00000007653	13
ENSMUSG00000007655	2
ENSMUSG00000007656	1
ENSMUSG00000007659	3
ENSMUSG00000007670	2
ENSMUSG00000007682	2
ENSMUSG00000007777	1
ENSMUSG00000007783	5
ENSMUSG00000007805	10
ENSMUSG00000007815	11
ENSMUSG00000007817	5
ENSMUSG00000007827	13
ENSMUSG00000007833	11
ENSMUSG00000007836	10
ENSMUSG00000007837	3
ENSMUSG00000007850	10
ENSMUSG00000007872	3
ENSMUSG00000007880	6
ENSMUSG00000007888	2
ENSMUSG00000007891	8
ENSMUSG00000007892	1
ENSMUSG00000007908	1
ENSMUSG00000007944	2
ENSMUSG00000007946	12
ENSMUSG00000007989	15
ENSMUSG00000008035	1
ENSMUSG00000008036	4
ENSMUSG00000008136	13
ENSMUSG00000008153	2
ENSMUSG00000008193	2
ENSMUSG00000008206	4
ENSMUSG00000008226	2
ENSMUSG00000008305	6
ENSMUSG00000008307	1
ENSMUSG00000008318	2
ENSMUSG00000008333	2
ENSMUSG00000008348	3
ENSMUSG00000008393	1
ENSMUSG00000008398	10
ENSMUSG00000008429	1
ENSMUSG00000008435	6
ENSMUSG00000008438	24
ENSMUSG00000008450	1
ENSMUSG00000008461	2
ENSMUSG00000008475	2
ENSMUSG00000008482	1
ENSMUSG00000008489	15
ENSMUSG00000008496	14
ENSMUSG00000008540	1
ENSMUSG00000008575	3
ENSMUSG00000008590	4
ENSMUSG00000008601	11
ENSMUSG00000008604	5
ENSMUSG00000008658	2
ENSMUSG00000008668	2
ENSMUSG00000008682	2
ENSMUSG00000008690	1
ENSMUSG00000008730	8
ENSMUSG00000008734	3
ENSMUSG00000008763	3
ENSMUSG00000008789	26
ENSMUSG00000008813	2
ENSMUSG00000008822	1
ENSMUSG00000008845	9
ENSMUSG00000008855	5
ENSMUSG00000008859	12
ENSMUSG00000008874	2
ENSMUSG00000008892	3
ENSMUSG00000008932	6
ENSMUSG00000008976	12
ENSMUSG00000008999	14
ENSMUSG00000009013	3
ENSMUSG00000009030	3
ENSMUSG00000009035	3
ENSMUSG00000009047	7
ENSMUSG00000009073	7
ENSMUSG00000009075	1
ENSMUSG00000009079	2
ENSMUSG00000009090	3
ENSMUSG00000009092	2
ENSMUSG00000009093	4
ENSMUSG00000009097	12
ENSMUSG00000009108	11
ENSMUSG00000009115	1
ENSMUSG00000009145	1
ENSMUSG00000009185	5
ENSMUSG00000009214	2
ENSMUSG00000009216	1
ENSMUSG00000009246	7
ENSMUSG00000009248	4
ENSMUSG00000009292	7
ENSMUSG00000009293	4
ENSMUSG00000009350	4
ENSMUSG00000009356	4
ENSMUSG00000009376	5
ENSMUSG00000009378	11
ENSMUSG00000009394	2
ENSMUSG00000009406	10
ENSMUSG00000009418	2
ENSMUSG00000009470	1
ENSMUSG00000009471	3
ENSMUSG00000009487	11
ENSMUSG00000009545	4
ENSMUSG00000009555	2
ENSMUSG00000009563	4
ENSMUSG00000009569	2
ENSMUSG00000009575	2
ENSMUSG00000009585	3
ENSMUSG00000009588	7
ENSMUSG00000009596	2
ENSMUSG00000009614	3
ENSMUSG00000009621	2
ENSMUSG00000009630	2
ENSMUSG00000009646	1
ENSMUSG00000009647	1
ENSMUSG00000009654	2
ENSMUSG00000009681	9
ENSMUSG00000009731	14
ENSMUSG00000009733	5
ENSMUSG00000009734	14
ENSMUSG00000009739	14
ENSMUSG00000009741	5
ENSMUSG00000009772	11
ENSMUSG00000009828	2
ENSMUSG00000009876	1
ENSMUSG00000009900	13
ENSMUSG00000009905	7
ENSMUSG00000009907	5
ENSMUSG00000009941	3
ENSMUSG00000010021	12
ENSMUSG00000010025	4
ENSMUSG00000010047	6
ENSMUSG00000010048	1
ENSMUSG00000010051	6
ENSMUSG00000010064	7
ENSMUSG00000010066	4
ENSMUSG00000010067	2
ENSMUSG00000010080	4
ENSMUSG00000010086	3
ENSMUSG00000010095	1
ENSMUSG00000010097	3
ENSMUSG00000010122	1
ENSMUSG00000010154	1
ENSMUSG00000010175	1
ENSMUSG00000010205	1
ENSMUSG00000010307	1
ENSMUSG00000010311	2
ENSMUSG00000010358	1
ENSMUSG00000010376	5
ENSMUSG00000010461	3
ENSMUSG00000010476	3
ENSMUSG00000010505	2
ENSMUSG00000010517	1
ENSMUSG00000010529	11
ENSMUSG00000010592	1
ENSMUSG00000010601	11
ENSMUSG00000010609	1
ENSMUSG00000010651	2
ENSMUSG00000010660	11
ENSMUSG00000010663	3
ENSMUSG00000010721	1
ENSMUSG00000010751	3
ENSMUSG00000010755	1
ENSMUSG00000010760	2
ENSMUSG00000010796	6
ENSMUSG00000010797	13
ENSMUSG00000010803	9
ENSMUSG00000010825	10
ENSMUSG00000010830	2
ENSMUSG00000010914	2
ENSMUSG00000011008	2
ENSMUSG00000011034	12
ENSMUSG00000011118	2
ENSMUSG00000011148	1
ENSMUSG00000011171	14
ENSMUSG00000011179	3
